Scenario,FinalAvg,FinalAvgCI95,FinalShare3,FinalGini,FinalTaxSignal,TimeToTarget(Avg>=0.80),PeakVelocity,PeakVelocityStep,PeakPeerEvents,PeakPeerEventsStep
campaign,0.33419533333333334,0.002278417149979904,0.0003333333333333333,0.2448392914513448,0.0,,0.04712266666666669,0,212.55,18
combo,0.8188533333333333,0.0036725235235368567,0.3643333333333333,0.1050537745201676,0.2965251929120438,20.0,0.052132000000000005,12,229.83,15
economic,0.8083226666666667,0.006922688047127858,0.3418,0.10826415078863721,0.2963372570133964,55.0,0.04767200000000002,0,230.16,34
social,0.3334973333333333,0.0024849687087971565,0.00046666666666666666,0.24445195532080397,0.0,,0.04712266666666669,0,183.73,58
