Step,AverageSustainability,ShareState0,ShareState1,ShareState2,ShareState3,GiniScore,AdoptionVelocity,PeerInfluenceEvents,TaxSignal,Run
0,0.30673333333333336,0.6566666666666666,0.33,0.013333333333333334,0.0,0.23251539520394165,0.062066666666666714,126,0.0,0
1,0.3164,0.64,0.33,0.03,0.0,0.2442098609355253,0.009666666666666657,164,0.0,0
2,0.3383333333333333,0.57,0.39666666666666667,0.03333333333333333,0.0,0.24399671592775093,0.021933333333333305,174,0.0,0
3,0.3460666666666667,0.5566666666666666,0.39666666666666667,0.04666666666666667,0.0,0.24993321774866814,0.00773333333333337,166,0.0,0
4,0.34513333333333335,0.5566666666666666,0.4,0.043333333333333335,0.0,0.24814821968965362,-0.0009333333333333416,183,0.0,0
5,0.33426666666666666,0.5866666666666667,0.37666666666666665,0.03666666666666667,0.0,0.24721845499268766,-0.010866666666666691,183,0.0,0
6,0.33540000000000003,0.5766666666666667,0.3933333333333333,0.03,0.0,0.24264957264957313,0.001133333333333375,181,0.0,0
7,0.32420000000000004,0.6133333333333333,0.36,0.023333333333333334,0.0033333333333333335,0.24412434025635804,-0.011199999999999988,173,0.0,0
8,0.32320000000000004,0.6266666666666667,0.3333333333333333,0.04,0.0,0.25042904290429086,-0.0010000000000000009,179,0.0,0
9,0.34313333333333335,0.5633333333333334,0.3933333333333333,0.043333333333333335,0.0,0.248895149277897,0.019933333333333303,160,0.0,0
10,0.3236,0.6066666666666667,0.37333333333333335,0.02,0.0,0.23817882159044132,-0.019533333333333347,164,0.0,0
11,0.3284666666666667,0.5966666666666667,0.37666666666666665,0.02666666666666667,0.0,0.24192476828360782,0.004866666666666686,177,0.0,0
12,0.33699999999999997,0.59,0.36,0.05,0.0,0.2548071216617216,0.008533333333333282,173,0.0,0
13,0.3253333333333333,0.6133333333333333,0.35333333333333333,0.03333333333333333,0.0,0.24642076502732305,-0.011666666666666659,172,0.0,0
14,0.32853333333333334,0.5933333333333334,0.38333333333333336,0.023333333333333334,0.0,0.2397551406926411,0.003200000000000036,175,0.0,0
15,0.3244,0.6133333333333333,0.3566666666666667,0.03,0.0,0.24443485408960194,-0.004133333333333322,178,0.0,0
16,0.32633333333333336,0.6,0.38,0.016666666666666666,0.0033333333333333335,0.23969016002723909,0.0019333333333333425,160,0.0,0
17,0.3224666666666667,0.6166666666666667,0.3566666666666667,0.02666666666666667,0.0,0.2424567569430092,-0.003866666666666685,174,0.0,0
18,0.33320000000000005,0.5933333333333334,0.36666666666666664,0.04,0.0,0.24951580632252957,0.010733333333333372,169,0.0,0
19,0.3442,0.5566666666666666,0.4033333333333333,0.04,0.0,0.24633546387759112,0.010999999999999954,171,0.0,0
20,0.3378666666666667,0.5933333333333334,0.35,0.056666666666666664,0.0,0.2585464351486456,-0.006333333333333302,198,0.0,0
21,0.32366666666666666,0.6033333333333334,0.38,0.016666666666666666,0.0,0.2360006865774122,-0.014200000000000046,173,0.0,0
22,0.33513333333333334,0.59,0.36666666666666664,0.043333333333333335,0.0,0.25117631456800005,0.01146666666666668,178,0.0,0
23,0.3374,0.57,0.4,0.03,0.0,0.24208061647895723,0.002266666666666639,184,0.0,0
24,0.33133333333333337,0.5933333333333334,0.37333333333333335,0.03333333333333333,0.0,0.2457008718980556,-0.006066666666666609,186,0.0,0
25,0.3382,0.5766666666666667,0.38333333333333336,0.04,0.0,0.24834023260398236,0.006866666666666632,185,0.0,0
26,0.35713333333333336,0.5166666666666667,0.44,0.043333333333333335,0.0,0.242274282869766,0.018933333333333358,185,0.0,0
27,0.3498666666666667,0.5533333333333333,0.39,0.056666666666666664,0.0,0.2547090955284559,-0.0072666666666666435,185,0.0,0
28,0.3284666666666667,0.5966666666666667,0.37666666666666665,0.02666666666666667,0.0,0.24192476828360782,-0.02140000000000003,182,0.0,0
29,0.3472,0.5466666666666666,0.41333333333333333,0.04,0.0,0.2450998463901694,0.018733333333333324,177,0.0,0
30,0.33840000000000003,0.5666666666666667,0.4033333333333333,0.03,0.0,0.24176910953506744,-0.008799999999999975,189,0.0,0
31,0.32653333333333334,0.6,0.37666666666666665,0.023333333333333334,0.0,0.2400394718932902,-0.011866666666666692,178,0.0,0
32,0.3284666666666667,0.5966666666666667,0.37666666666666665,0.02666666666666667,0.0,0.24192476828360782,0.0019333333333333425,192,0.0,0
33,0.3323333333333333,0.59,0.37666666666666665,0.03333333333333333,0.0,0.2455132062855237,0.0038666666666666294,182,0.0,0
34,0.3252666666666667,0.6166666666666667,0.3466666666666667,0.03666666666666667,0.0,0.24843273894923878,-0.00706666666666661,171,0.0,0
35,0.32053333333333334,0.62,0.3566666666666667,0.023333333333333334,0.0,0.24041458679977865,-0.004733333333333367,173,0.0,0
36,0.33320000000000005,0.5933333333333334,0.36666666666666664,0.04,0.0,0.24951580632252957,0.012666666666666715,169,0.0,0
37,0.3231333333333334,0.63,0.32666666666666666,0.043333333333333335,0.0,0.25233408981500627,-0.010066666666666668,148,0.0,0
38,0.3264,0.6066666666666667,0.36333333333333334,0.03,0.0,0.2442851307189548,0.00326666666666664,173,0.0,0
39,0.3245333333333334,0.6066666666666667,0.37,0.023333333333333334,0.0,0.24024513831826938,-0.0018666666666666276,178,0.0,0
40,0.3153333333333333,0.6466666666666666,0.32,0.03333333333333333,0.0,0.24599013389711114,-0.009200000000000097,159,0.0,0
41,0.3055333333333333,0.67,0.30666666666666664,0.023333333333333334,0.0,0.2379802167430364,-0.009799999999999975,170,0.0,0
42,0.3155333333333334,0.6366666666666667,0.34,0.023333333333333334,0.0,0.24015705331361423,0.010000000000000064,172,0.0,0
43,0.33433333333333326,0.5833333333333334,0.38333333333333336,0.03333333333333333,0.0,0.24508142239946892,0.018799999999999872,177,0.0,0
44,0.32253333333333334,0.6133333333333333,0.36333333333333334,0.023333333333333334,0.0,0.24037067658812258,-0.011799999999999922,180,0.0,0
45,0.31560000000000005,0.6333333333333333,0.3466666666666667,0.02,0.0,0.2381326573722016,-0.006933333333333291,169,0.0,0
46,0.32960000000000006,0.5866666666666667,0.3933333333333333,0.02,0.0,0.23736245954692606,0.014000000000000012,168,0.0,0
