Step,AverageSustainability,ShareState0,ShareState1,ShareState2,ShareState3,GiniScore,AdoptionVelocity,PeerInfluenceEvents,TaxSignal,Run
0,0.30673333333333336,0.6566666666666666,0.33,0.013333333333333334,0.0,0.23251539520394165,0.062066666666666714,126,0.004580146164112329,0
1,0.3174,0.6366666666666667,0.3333333333333333,0.03,0.0,0.24431211930266794,0.010666666666666658,163,0.033713732802407005,0
2,0.35126666666666667,0.53,0.43333333333333335,0.03666666666666667,0.0,0.24090023407351224,0.033866666666666656,180,0.040178366497222076,0
3,0.3825333333333334,0.46,0.4666666666666667,0.07333333333333333,0.0,0.24454746136865396,0.03126666666666672,184,0.09300765566171622,0
4,0.4020000000000001,0.41,0.5033333333333333,0.08333333333333333,0.0033333333333333335,0.2374737423991161,0.019466666666666688,204,0.14250624375631799,0
5,0.41666666666666674,0.37666666666666665,0.52,0.1,0.0033333333333333335,0.2330666666666671,0.014666666666666661,209,0.17960629803373554,0
6,0.4272000000000001,0.36333333333333334,0.51,0.12333333333333334,0.0033333333333333335,0.23666146483562264,0.010533333333333339,205,0.20266089689683622,0
7,0.43166666666666664,0.33666666666666667,0.5466666666666666,0.11666666666666667,0.0,0.2220514800514805,0.004466666666666563,184,0.21121548828514874,0
8,0.4377333333333334,0.31333333333333335,0.5733333333333334,0.11333333333333333,0.0,0.2117352015433042,0.006066666666666776,210,0.22693605876912123,0
9,0.4770666666666667,0.24,0.59,0.16333333333333333,0.006666666666666667,0.2005692193031492,0.039333333333333276,215,0.23905232086325298,0
10,0.48446666666666677,0.25333333333333335,0.5333333333333333,0.21,0.0033333333333333335,0.21563460391725187,0.007400000000000073,222,0.26727095364131614,0
11,0.5166000000000001,0.20333333333333334,0.53,0.25333333333333335,0.013333333333333334,0.20566481696563027,0.03213333333333329,234,0.2631757888380235,0
12,0.5447333333333334,0.19333333333333333,0.4633333333333333,0.31333333333333335,0.03,0.21352873985232348,0.028133333333333344,225,0.27653152216446475,0
13,0.5519333333333334,0.14,0.5533333333333333,0.27,0.03666666666666667,0.18738696299875224,0.007199999999999984,223,0.2786055743805438,0
14,0.5810000000000001,0.13333333333333333,0.4633333333333333,0.36666666666666664,0.03666666666666667,0.18902084528590593,0.029066666666666685,221,0.2870678235176741,0
15,0.5682666666666667,0.13666666666666666,0.49666666666666665,0.33666666666666667,0.03,0.18797669325825164,-0.012733333333333374,224,0.287868130554599,0
16,0.5971333333333335,0.10666666666666667,0.4766666666666667,0.36,0.056666666666666664,0.18153808939004915,0.028866666666666818,230,0.2874740887747254,0
17,0.6107333333333334,0.08666666666666667,0.48,0.36333333333333334,0.07,0.1749113997744064,0.013599999999999834,239,0.2906190597012634,0
18,0.6372666666666666,0.07666666666666666,0.4033333333333333,0.4533333333333333,0.06666666666666667,0.16447361997419555,0.026533333333333298,218,0.2922757526945271,0
19,0.6445333333333334,0.06666666666666667,0.4033333333333333,0.45666666666666667,0.07333333333333333,0.16037167287270734,0.0072666666666667545,228,0.2929936450569069,0
20,0.6578,0.056666666666666664,0.37666666666666665,0.49333333333333335,0.07333333333333333,0.15163035032600267,0.013266666666666649,222,0.2936462668634797,0
21,0.6812666666666668,0.04,0.36666666666666664,0.47,0.12333333333333334,0.15099487882049792,0.023466666666666747,234,0.29423929404815724,0
22,0.6911333333333335,0.03333333333333333,0.34,0.51,0.11666666666666667,0.14157390437606523,0.00986666666666669,222,0.2951092501885677,0
23,0.7082666666666667,0.03,0.30666666666666664,0.52,0.14333333333333334,0.13875251004016073,0.017133333333333223,226,0.29541985383588765,0
24,0.7286666666666668,0.02,0.2833333333333333,0.5166666666666667,0.18,0.13383653552912467,0.020400000000000085,216,0.2955677904920181,0
25,0.7445333333333334,0.02,0.2633333333333333,0.49,0.22666666666666666,0.13605718720152804,0.015866666666666585,218,0.29598392465170054,0
26,0.7578666666666667,0.016666666666666666,0.22,0.54,0.22333333333333333,0.12358433028383767,0.013333333333333308,218,0.29598392465170054,0
27,0.7415333333333335,0.013333333333333334,0.24333333333333335,0.5733333333333334,0.17,0.11922532889807883,-0.0163333333333332,211,0.29611388174079123,0
28,0.7531333333333334,0.02,0.23,0.5266666666666666,0.22333333333333333,0.12818476881768012,0.011599999999999944,230,0.29623968694525143,0
29,0.7544666666666667,0.013333333333333334,0.26,0.4766666666666667,0.25,0.13361874466142373,0.0013333333333332975,227,0.29598392465170054,0
30,0.7755333333333334,0.006666666666666667,0.19333333333333333,0.5566666666666666,0.24333333333333335,0.11255938565574941,0.021066666666666678,228,0.29623968694525143,0
31,0.7665333333333334,0.02,0.22666666666666666,0.47333333333333333,0.28,0.13340870876094357,-0.009000000000000008,231,0.29647935485312027,0
32,0.7876000000000001,0.02,0.15666666666666668,0.5366666666666666,0.2866666666666667,0.11629648439704283,0.021066666666666678,225,0.29598392465170054,0
33,0.7838,0.013333333333333334,0.18666666666666668,0.51,0.29,0.11998554052904656,-0.0038000000000000256,218,0.29598392465170054,0
34,0.7893333333333333,0.006666666666666667,0.18333333333333332,0.5166666666666667,0.29333333333333333,0.11488457207207185,0.005533333333333279,222,0.29623968694525143,0
35,0.8023333333333335,0.0,0.15333333333333332,0.55,0.2966666666666667,0.10251904168397687,0.013000000000000123,208,0.29647935485312027,0
36,0.7831333333333335,0.016666666666666666,0.19,0.49333333333333335,0.3,0.12389234130700023,-0.019199999999999995,230,0.29670391721082207,0
37,0.7799333333333334,0.023333333333333334,0.16666666666666666,0.5366666666666666,0.2733333333333333,0.12004302362025233,-0.0032000000000000917,227,0.29611388174079123,0
