Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28958000000000006,0.006469617702490173,0.7046666666666667,0.29183333333333333,0.0035000000000000005,0.0,0.21846542074110115,0.04748000000000003,107.45,0.003592223616306377,0.0028354349743559912
1,0.30409,0.011272141823386969,0.6721666666666667,0.30733333333333335,0.0205,0.0,0.23460783719969797,0.014509999999999985,147.25,0.019186274463902715,0.004940233972345891
2,0.32133,0.014428763913453413,0.6193333333333333,0.35533333333333333,0.025166666666666664,0.0001666666666666667,0.23992230994213481,0.017240000000000012,157.65,0.026318066592111604,0.006323684600588434
3,0.3278533333333334,0.02157102887091175,0.6048333333333333,0.36233333333333334,0.03233333333333334,0.0005,0.24267731554727612,0.006523333333333342,168.8,0.04231236608315939,0.009453920232393965
4,0.33372333333333337,0.022630882744629512,0.5885,0.37533333333333335,0.0355,0.0006666666666666668,0.24378905179764915,0.005869999999999998,170.15,0.04923863073591163,0.009918421672732446
5,0.34269000000000005,0.022170316544256084,0.563,0.396,0.0405,0.0005,0.2446812237941755,0.008966666666666668,177.05,0.05599290709526822,0.009716569635626386
6,0.34935,0.022162007160984067,0.544,0.41183333333333333,0.043333333333333335,0.0008333333333333333,0.2442615812008025,0.0066600000000000045,180.05,0.0665904723350911,0.00971292788784031
7,0.35308,0.024591308310955,0.5371666666666666,0.4126666666666667,0.04933333333333333,0.0008333333333333333,0.2459731359857933,0.0037299999999999833,182.15,0.07603022404251782,0.01077761605963438
8,0.35950000000000004,0.024185477252713482,0.518,0.4298333333333333,0.05083333333333333,0.0013333333333333335,0.24446049782944254,0.006420000000000006,187.1,0.08003258249944815,0.01059975275624707
9,0.36585333333333336,0.0292894536235699,0.5073333333333333,0.4295,0.0615,0.0016666666666666666,0.2467963754962726,0.006353333333333361,190.4,0.08983252279074389,0.012836669027921447
10,0.41270666666666667,0.03597562137522205,0.3863333333333333,0.5133333333333334,0.098,0.0023333333333333335,0.23001950140836228,0.04685333333333332,205.15,0.09636433846029276,0.015767011245847028
11,0.4562233333333334,0.040238123234111065,0.3111666666666667,0.5165,0.16633333333333333,0.006,0.22660611710855033,0.04351666666666669,216.65,0.1660985633859308,0.017635135052343258
12,0.4974066666666667,0.0388930030238156,0.2325,0.538,0.21633333333333332,0.013166666666666669,0.20867666579933902,0.041183333333333315,221.8,0.20155916730028284,0.017045610127629885
13,0.5429666666666668,0.04085839474395233,0.17450000000000002,0.5043333333333333,0.2966666666666667,0.0245,0.19809717256710194,0.04556000000000003,225.6,0.23048677841850185,0.017906981027403512
14,0.59023,0.0419705576279651,0.12183333333333332,0.4628333333333333,0.3676666666666667,0.04766666666666667,0.1824236377304485,0.04726333333333334,230.4,0.24219390269496444,0.018394407902301648
15,0.6240866666666667,0.038673666033160664,0.093,0.41866666666666663,0.41900000000000004,0.06933333333333333,0.17250547587211382,0.03385666666666668,227.35,0.2499583023209874,0.016949481453097288
16,0.6543666666666668,0.03567047692387373,0.06966666666666667,0.38216666666666665,0.4491666666666666,0.099,0.16289977951682663,0.030279999999999994,232.35,0.2524534883075571,0.01563327579355737
17,0.6844566666666667,0.03273340318711951,0.051500000000000004,0.33799999999999997,0.47883333333333333,0.13166666666666665,0.15340436455772566,0.030089999999999985,227.55,0.2542247541745532,0.014346046473616267
18,0.7151700000000001,0.028334976010172982,0.03233333333333334,0.28883333333333333,0.5206666666666667,0.15816666666666665,0.13777397522865992,0.03071333333333335,226.6,0.2551877469577838,0.012418350769916221
19,0.7429033333333334,0.03232044579479483,0.0225,0.2535,0.5106666666666666,0.21333333333333332,0.13191929387939566,0.027733333333333332,227.05,0.256032514437016,0.014165059916610658
20,0.7718366666666667,0.028091000619228108,0.01616666666666667,0.2046666666666667,0.5131666666666667,0.266,0.12265133778945134,0.02893333333333333,225.15,0.2564018272423663,0.012311423840354215
21,0.7896100000000001,0.028661772532039297,0.009166666666666667,0.1845,0.5036666666666666,0.3026666666666667,0.11605142485316929,0.01777333333333337,222.45,0.2566386087300863,0.012561575660506122
22,0.80473,0.02760897790246339,0.0075000000000000015,0.15333333333333335,0.5118333333333334,0.32733333333333337,0.1084989248226543,0.015119999999999967,219.95,0.2568692819341839,0.012100168070322747
23,0.8167366666666668,0.02927362723445778,0.008,0.13783333333333334,0.49066666666666664,0.3635,0.10609851385514342,0.012006666666666688,218.7,0.2569168851245441,0.012829732807070407
24,0.82657,0.023093053308540876,0.007166666666666667,0.11950000000000001,0.4906666666666667,0.38266666666666665,0.10194658597089341,0.009833333333333333,216.85,0.2569033283243184,0.01012097685316107
25,0.8367400000000002,0.021905783369449282,0.0045,0.11266666666666666,0.4696666666666666,0.4131666666666667,0.09912442717696227,0.010170000000000018,214.5,0.25692997570519466,0.009600632860036703
26,0.8462366666666667,0.020680815473645406,0.003333333333333333,0.09583333333333334,0.469,0.43183333333333335,0.09350883277233858,0.009496666666666636,209.65,0.25701077508519216,0.009063767008923324
27,0.8505800000000001,0.017547517443246858,0.003,0.0945,0.4535,0.449,0.09333950927149691,0.004343333333333349,209.45,0.25704623281040945,0.0076905386005348035
28,0.8535033333333335,0.015398283112315399,0.0035000000000000005,0.0825,0.4656666666666666,0.44833333333333336,0.09017175487571125,0.002923333333333322,211.3,0.25705547799473266,0.006748595124081155
29,0.8540233333333335,0.0150676490131548,0.0023333333333333335,0.09,0.4505,0.4571666666666666,0.0916284388686708,0.0005200000000000037,211.15,0.25704177374434595,0.006603688341086264
30,0.8555833333333334,0.016488817759654887,0.0025,0.08683333333333333,0.45,0.46066666666666667,0.09085468657772797,0.0015600000000000169,209.2,0.25707558952125015,0.007226543006322046
31,0.8435866666666667,0.016263827764928254,0.003,0.098,0.47733333333333333,0.4216666666666667,0.09401994499293441,-0.011996666666666678,211.25,0.25707032267013713,0.007127936793518696
32,0.8375266666666666,0.01612655940145493,0.003,0.10916666666666666,0.4795,0.4083333333333333,0.0971644201427714,-0.006060000000000026,215.45,0.2570559638459099,0.007067776280708942
33,0.8304066666666667,0.02384038443114042,0.003333333333333333,0.12133333333333333,0.483,0.3923333333333333,0.09991007155583724,-0.007119999999999965,217.2,0.2570561274502493,0.010448509158760496
34,0.8261033333333334,0.02245045982154551,0.0041666666666666675,0.119,0.5048333333333332,0.372,0.09932932028647776,-0.004303333333333348,219.95,0.2570455937480233,0.009839347840272298
35,0.8218833333333334,0.01941351642240637,0.006666666666666666,0.12666666666666665,0.49749999999999994,0.36916666666666664,0.10329283113460863,-0.004219999999999985,218.5,0.25701818257760073,0.008508348710950594
36,0.8142666666666667,0.01928441482054253,0.006500000000000001,0.14033333333333334,0.5016666666666667,0.35150000000000003,0.10619373990767841,-0.007616666666666683,220.85,0.25694582358367246,0.008451767439227351
37,0.8078000000000001,0.022535990708042596,0.0085,0.14933333333333335,0.5033333333333333,0.3388333333333333,0.10915353646026663,-0.006466666666666671,223.2,0.25695208788524215,0.009876833404043424
38,0.8005466666666667,0.02554959950934104,0.01,0.15733333333333335,0.5126666666666667,0.32,0.11089200689090264,-0.007253333333333339,222.55,0.2568820089834155,0.01119760569495324
39,0.7951733333333334,0.025887651101097666,0.009333333333333334,0.16899999999999998,0.513,0.30866666666666664,0.112945368342496,-0.00537333333333333,223.35,0.25683977073613884,0.011345763337410926
40,0.7927866666666668,0.024768916570374548,0.0095,0.16683333333333333,0.5281666666666667,0.2955,0.11141969824497858,-0.0023866666666666537,223.4,0.25685814968330345,0.010855456311354173
41,0.7919166666666667,0.02249064652886951,0.011,0.176,0.5058333333333334,0.3071666666666667,0.1158898207146349,-0.0008700000000000152,225.55,0.25685310024794805,0.009856960441308495
42,0.7865466666666667,0.02421995311009026,0.011333333333333334,0.17916666666666667,0.5218333333333334,0.2876666666666666,0.1153994898631198,-0.005370000000000002,225.25,0.25681169620031824,0.010614862466939776
43,0.7824566666666668,0.022370555783928835,0.012833333333333332,0.18883333333333333,0.513,0.2853333333333333,0.1188804057160909,-0.0040899999999999825,227.05,0.2567933507893332,0.00980432835175393
44,0.7837600000000001,0.02106433920076564,0.012166666666666668,0.1815,0.5261666666666667,0.2801666666666667,0.11607947555782094,0.0013033333333333287,225.45,0.25674897142503655,0.00923185369338901
45,0.7839733333333334,0.021836236849926333,0.0105,0.18733333333333332,0.518,0.2841666666666667,0.11676485224199973,0.0002133333333333376,224.6,0.2567692231474714,0.009570152753967345
46,0.7807366666666667,0.023343180628854848,0.014500000000000002,0.18733333333333332,0.5181666666666667,0.27999999999999997,0.11908913375199681,-0.003236666666666671,225.3,0.2568248227968254,0.010230599984646442
47,0.77707,0.023106906134554468,0.013500000000000002,0.19883333333333333,0.5123333333333333,0.2753333333333333,0.12077528039183232,-0.0036666666666666957,228.8,0.2566920195311083,0.010127048121847854
48,0.7740466666666668,0.02164576157477596,0.014000000000000002,0.20099999999999998,0.5193333333333333,0.26566666666666666,0.1207947821522987,-0.003023333333333306,224.55,0.25672963020047374,0.00948667328396658
49,0.7730600000000001,0.019758233460349738,0.013666666666666666,0.19866666666666666,0.5303333333333333,0.2573333333333333,0.11934741126206569,-0.0009866666666666635,227.8,0.2567123650693824,0.00865942761399997
50,0.7716766666666668,0.026226367473921985,0.013000000000000001,0.20800000000000002,0.5178333333333334,0.26116666666666666,0.12099202746181184,-0.0013833333333333308,229.2,0.25672161838966784,0.011494212333017484
51,0.77592,0.02545608855351592,0.01583333333333333,0.19483333333333333,0.5181666666666667,0.27116666666666667,0.12091672615584181,0.004243333333333338,227.3,0.2567419704887628,0.011156622711595513
52,0.7772333333333334,0.028087686424035904,0.0115,0.19833333333333333,0.52,0.27016666666666667,0.11820391907058839,0.0013133333333332886,228.3,0.2566437384659654,0.012309971330269082
53,0.7754066666666668,0.028068078474305386,0.012666666666666668,0.2046666666666667,0.5096666666666667,0.273,0.12101698533873839,-0.0018266666666666431,232.55,0.2567916010451795,0.012301377767403704
54,0.7738966666666667,0.030383401709078,0.013166666666666669,0.20483333333333334,0.5143333333333333,0.26766666666666666,0.12073958701046332,-0.0015099999999999836,230.9,0.2567542041831489,0.013316112915399612
55,0.7721000000000001,0.03356861176614894,0.016833333333333332,0.203,0.5133333333333334,0.26683333333333337,0.12242261499831393,-0.0017966666666666576,230.2,0.25672748608305523,0.014712092772604027
56,0.7686333333333335,0.03340560936193357,0.017166666666666667,0.21233333333333335,0.5066666666666666,0.2638333333333333,0.12447612799460013,-0.0034666666666666734,233.5,0.25660643632118735,0.014640653819165017
57,0.7683433333333334,0.03283675215970152,0.015333333333333332,0.21166666666666667,0.5161666666666667,0.25683333333333336,0.12249748504234603,-0.00029000000000000136,233.2,0.256603890850646,0.014391341157923503
58,0.76522,0.032712378328492595,0.0165,0.217,0.514,0.2525,0.12412973109670962,-0.0031233333333333334,230.75,0.2566621556705861,0.014336831923047275
59,0.7634266666666668,0.03935380614984445,0.017833333333333333,0.21933333333333332,0.512,0.25083333333333335,0.1245879567785291,-0.0017933333333333412,228.75,0.2566151819297231,0.017247566001982687
