Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28914666666666666,0.006469934000978038,0.7068888888888889,0.2887777777777778,0.004333333333333333,0.0,0.21862842805628357,0.04808666666666669,106.4,0.00405200069898704,0.002315236147964811
1,0.30619111111111114,0.010789788465087173,0.6651111111111111,0.31444444444444447,0.020444444444444442,0.0,0.23535342337948634,0.01704444444444444,149.03333333333333,0.021681624081771655,0.0038610762149176945
2,0.3219777777777778,0.013147606845835843,0.6174444444444445,0.3568888888888889,0.025555555555555557,0.00011111111111111112,0.24033631521650664,0.015786666666666675,158.76666666666668,0.03230969389375194,0.004704810686493443
3,0.3298466666666667,0.018834541920329757,0.5978888888888889,0.3695555555555555,0.03211111111111111,0.00044444444444444447,0.24296648981535632,0.00786888888888889,169.16666666666666,0.049269490644619045,0.006739854267093634
4,0.3378422222222222,0.01959901071342845,0.577,0.3844444444444444,0.03788888888888889,0.0006666666666666666,0.24520075462285656,0.007995555555555563,172.66666666666666,0.05910170953207749,0.007013415911386384
5,0.3489244444444444,0.02118981706815482,0.545,0.41088888888888886,0.04377777777777778,0.0003333333333333333,0.2443585689848201,0.011082222222222222,181.23333333333332,0.06908090278694629,0.007582678654455766
6,0.35501777777777777,0.021180240436070544,0.5302222222222223,0.42,0.04911111111111111,0.0006666666666666666,0.24541729171085178,0.00609333333333333,183.9,0.08690518201833966,0.007579251700676344
7,0.3608577777777778,0.024137319371925398,0.5172222222222222,0.4263333333333333,0.05544444444444444,0.001,0.24612835686777135,0.00584000000000001,185.26666666666668,0.09574440544416443,0.00863742880783718
8,0.3676622222222222,0.02465758101284174,0.495,0.4478888888888889,0.05633333333333333,0.0007777777777777778,0.24212208756907033,0.006804444444444435,191.53333333333333,0.10448329327268653,0.008823602045039741
9,0.3750355555555556,0.030919620094186768,0.48155555555555557,0.44966666666666666,0.06766666666666668,0.0011111111111111111,0.24348944895421346,0.007373333333333343,194.3,0.11865013533848236,0.01106444395144972
10,0.4235866666666667,0.03745935789963401,0.36133333333333334,0.526,0.11066666666666666,0.002,0.22555350056549625,0.048551111111111114,208.76666666666668,0.12770706765526468,0.013404659070042074
11,0.47226000000000007,0.041488146670781115,0.2841111111111111,0.517888888888889,0.18866666666666668,0.009333333333333334,0.22269945509354835,0.04867333333333335,215.76666666666668,0.20614386384699518,0.014846342616437521
12,0.5266422222222222,0.0464335441020815,0.1947777777777778,0.5198888888888888,0.2617777777777778,0.023555555555555555,0.20209501688733006,0.05438222222222222,226.2,0.24598714294068824,0.01661603035935239
13,0.5758977777777778,0.04892122288466725,0.13677777777777778,0.47555555555555556,0.34955555555555556,0.03811111111111111,0.1858151735381913,0.049255555555555566,228.73333333333332,0.2751947728190293,0.017506234778917867
14,0.6268266666666666,0.051185425368115704,0.08844444444444445,0.41988888888888887,0.42033333333333334,0.07133333333333333,0.1680698288717037,0.0509288888888889,228.66666666666666,0.28574016732562046,0.01831646923188124
15,0.6646466666666667,0.05003613146624429,0.064,0.3652222222222222,0.4615555555555556,0.10922222222222223,0.15785412575848146,0.037820000000000006,230.76666666666668,0.29149015452800775,0.01790519969097928
16,0.7023355555555556,0.047742295066182806,0.043111111111111114,0.3093333333333333,0.49322222222222223,0.15433333333333332,0.1452489485747876,0.03768888888888888,229.96666666666667,0.2934414268021074,0.0170843608771464
17,0.7396866666666668,0.04573229833619902,0.02888888888888889,0.25166666666666665,0.5062222222222222,0.21322222222222223,0.13416513572731606,0.037351111111111134,231.6,0.294807497659347,0.01636509278479089
18,0.7701822222222223,0.041294538461748645,0.019000000000000003,0.2068888888888889,0.5053333333333333,0.2687777777777777,0.12382734936803128,0.03049555555555556,224.96666666666667,0.2954905079388883,0.01477706080861275
19,0.7951511111111113,0.038449237802741294,0.013111111111111112,0.17155555555555554,0.4935555555555556,0.32177777777777783,0.11550228062705102,0.024968888888888863,223.93333333333334,0.29598895664032165,0.013758883044115294
20,0.8224711111111113,0.03363815992768572,0.008666666666666666,0.13033333333333333,0.4792222222222222,0.38177777777777777,0.1049520390244467,0.027320000000000007,217.6,0.2962351076072628,0.012037260937101746
21,0.8390400000000001,0.02802700722695196,0.004222222222222223,0.11266666666666666,0.4602222222222222,0.4228888888888889,0.0983233465190048,0.016568888888888897,213.6,0.2963955155475613,0.010029335730673775
22,0.8520377777777779,0.024295099443311798,0.0036666666666666666,0.09044444444444445,0.45366666666666666,0.4522222222222222,0.09188744224593996,0.012997777777777785,209.56666666666666,0.29656091136600665,0.008693889681262942
23,0.8613044444444445,0.022272727396886984,0.0021111111111111113,0.08466666666666667,0.43033333333333335,0.48288888888888887,0.08917055636317238,0.009266666666666656,205.3,0.29658045312155695,0.007970193138793035
24,0.868188888888889,0.01648460638793071,0.0023333333333333335,0.07166666666666667,0.4277777777777778,0.49822222222222223,0.08565254542089447,0.006884444444444471,203.06666666666666,0.29663285887936525,0.005898940636572092
25,0.8722155555555556,0.017310937638997242,0.001888888888888889,0.06711111111111111,0.4214444444444444,0.5095555555555555,0.08361089038396076,0.004026666666666656,200.36666666666667,0.29662511771091443,0.006194639477143421
26,0.877228888888889,0.014851156109990932,0.002,0.061111111111111116,0.4118888888888889,0.525,0.08154867308080022,0.005013333333333314,198.76666666666668,0.2966405920531001,0.0053144179615621685
27,0.87788,0.015214415426877502,0.0011111111111111111,0.06088888888888889,0.4126666666666667,0.5253333333333333,0.08090736775711392,0.0006511111111111023,200.3,0.296636666478659,0.005444408638656194
28,0.8785044444444445,0.013749245143566218,0.0015555555555555557,0.06166666666666667,0.40644444444444444,0.5303333333333333,0.08117495903197322,0.0006244444444444349,196.4,0.29666697780048373,0.004920104186349055
29,0.8773755555555557,0.011793010246619957,0.0012222222222222222,0.058444444444444445,0.4201111111111111,0.5202222222222223,0.08058313386242509,-0.0011288888888888757,198.26666666666668,0.2966520030394647,0.004220074518869364
30,0.8769711111111111,0.012384561930152692,0.0017777777777777779,0.06266666666666668,0.4103333333333333,0.5252222222222221,0.08199085556609335,-0.0004044444444444147,199.73333333333332,0.29666341796300155,0.004431758570190041
31,0.8683933333333335,0.0122834885905439,0.001,0.06811111111111111,0.43977777777777777,0.49111111111111116,0.08400053849384533,-0.008577777777777792,202.06666666666666,0.29664402604109047,0.004395589940120179
32,0.8619711111111112,0.013339466214062594,0.0023333333333333335,0.0758888888888889,0.4464444444444444,0.47533333333333333,0.08738240458376598,-0.006422222222222233,205.76666666666668,0.2966706595502856,0.004773466679673145
33,0.853757777777778,0.016621322070818095,0.002777777777777778,0.08666666666666667,0.45766666666666667,0.45288888888888884,0.09096928295228457,-0.00821333333333331,209.76666666666668,0.29662549537976146,0.005947863715380426
34,0.8513155555555556,0.01870657419901063,0.0031111111111111114,0.08911111111111111,0.46199999999999997,0.4457777777777778,0.09168608299100366,-0.002442222222222268,210.7,0.29661052061874243,0.006694061606128941
35,0.8480133333333335,0.018982326121443648,0.0033333333333333335,0.09433333333333334,0.4643333333333333,0.438,0.09329863133914625,-0.003302222222222195,209.86666666666667,0.29659947930650904,0.006792738164281034
36,0.8443200000000001,0.016611470901676365,0.0030000000000000005,0.098,0.47400000000000003,0.425,0.09423822542689801,-0.003693333333333345,213.66666666666666,0.2965911207021156,0.0059443385197766995
37,0.84094,0.014733841464166338,0.0034444444444444444,0.10644444444444444,0.46855555555555556,0.42155555555555557,0.09698031056275154,-0.0033800000000000162,214.86666666666667,0.2966029052997836,0.005272437454704181
38,0.8373866666666668,0.015046027975994424,0.004111111111111111,0.10911111111111112,0.4762222222222222,0.41055555555555556,0.09816772328872546,-0.003553333333333301,214.3,0.2965870163903948,0.00538415196322655
39,0.8343622222222222,0.01514169785884434,0.003777777777777778,0.10977777777777778,0.48966666666666664,0.3967777777777778,0.09775810132955201,-0.0030244444444444594,219.2,0.2965637236165518,0.005418386991128257
40,0.8332133333333334,0.016375791870531703,0.0033333333333333335,0.11,0.49600000000000005,0.39066666666666666,0.09724923021477574,-0.001148888888888866,218.36666666666667,0.29657485806105205,0.005860001861606622
41,0.8330200000000001,0.01730929500258721,0.004666666666666667,0.11866666666666667,0.4723333333333333,0.4043333333333334,0.10100112063492199,-0.00019333333333334166,216.86666666666667,0.2965914983709626,0.0061940516672532595
42,0.8309044444444446,0.016899510825932516,0.004333333333333333,0.11722222222222221,0.48644444444444446,0.392,0.10000105001095101,-0.002115555555555552,219.46666666666667,0.29654302400836374,0.006047412282908453
43,0.8283955555555557,0.01444627444935734,0.005222222222222223,0.12111111111111111,0.48577777777777775,0.3878888888888889,0.10173727985172971,-0.002508888888888879,220.7,0.29655749730462017,0.0051695329200447115
44,0.8279844444444445,0.016962918162645065,0.004333333333333333,0.12066666666666667,0.4918888888888889,0.38311111111111107,0.10070383703625783,-0.00041111111111112136,218.86666666666667,0.2965271820456231,0.006070102306945928
45,0.8325355555555556,0.016341982071744095,0.004777777777777778,0.11588888888888889,0.48044444444444445,0.3988888888888889,0.10007090687081412,0.004551111111111113,218.76666666666668,0.29655687187396157,0.005847903180492308
46,0.8310644444444446,0.01642181040447151,0.005555555555555556,0.11333333333333333,0.4901111111111111,0.391,0.09977555408698764,-0.0014711111111111082,218.9,0.2965414910348584,0.005876469382486694
47,0.8309844444444445,0.01888948851876724,0.004555555555555555,0.1218888888888889,0.4746666666666667,0.3988888888888889,0.10160607357059362,-7.999999999999488e-05,218.1,0.29651450826605336,0.006759516654822927
48,0.826477777777778,0.018871763929708508,0.006666666666666667,0.12077777777777779,0.49,0.38255555555555554,0.10216193147628443,-0.00450666666666667,221.53333333333333,0.29654795661948274,0.0067531739920862754
49,0.8264622222222223,0.019201436195752805,0.0054444444444444445,0.1238888888888889,0.48744444444444446,0.3832222222222222,0.10221126318550455,-1.5555555555568647e-05,221.4,0.2964755704074609,0.006871145697394529
50,0.8254977777777779,0.018382890040264055,0.004,0.12866666666666665,0.4862222222222223,0.3811111111111111,0.10260054558993345,-0.0009644444444444381,220.66666666666666,0.29651932302239625,0.006578232717497254
51,0.8279688888888889,0.018284358689033123,0.005111111111111111,0.11911111111111111,0.49266666666666664,0.3831111111111111,0.10065497943308553,0.0024711111111110906,220.53333333333333,0.29656903414047664,0.006542973726286031
52,0.8270711111111112,0.014209358885921427,0.0044444444444444444,0.12422222222222222,0.4875555555555556,0.3837777777777778,0.10199347983870641,-0.0008977777777777603,221.43333333333334,0.2965292068560237,0.005084753774477019
53,0.8261355555555556,0.015640692416234662,0.003777777777777778,0.12711111111111112,0.4876666666666667,0.3814444444444444,0.10208666925800478,-0.0009355555555555598,222.86666666666667,0.2965535597982909,0.005596949900229514
54,0.8251066666666668,0.017980190035605168,0.004111111111111111,0.1218888888888889,0.503,0.37100000000000005,0.10033512723295288,-0.0010288888888888717,224.06666666666666,0.29657677530892734,0.00643412837154397
55,0.8254355555555557,0.01921912149154504,0.004777777777777778,0.12911111111111112,0.4826666666666667,0.3834444444444445,0.10316794487857961,0.00032888888888886377,221.56666666666666,0.2965633420105326,0.006877474299216347
56,0.8235555555555557,0.01946559856409488,0.005,0.12855555555555556,0.49166666666666664,0.3747777777777778,0.10284061795759633,-0.0018800000000000038,221.2,0.29654152743881135,0.0069656749868780244
57,0.8196844444444445,0.01981438722876879,0.006222222222222223,0.13277777777777777,0.49522222222222223,0.36577777777777776,0.10458648841494161,-0.003871111111111107,222.4,0.2965336604208687,0.007090487407581443
58,0.8189755555555556,0.021015195985866833,0.005111111111111111,0.13577777777777778,0.49566666666666664,0.3634444444444444,0.10445208838931665,-0.0007088888888888923,222.96666666666667,0.29649102876021505,0.007520191302676171
59,0.8217422222222223,0.021465672378867703,0.006333333333333333,0.12877777777777777,0.4945555555555555,0.3703333333333333,0.1034660996346894,0.002766666666666669,223.63333333333333,0.2965297226705807,0.007681392209628662
