AverageSustainability,Scenario
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
0.1472300681231605,social
