Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28914666666666666,0.006469934000978038,0.7068888888888889,0.2887777777777778,0.004333333333333333,0.0,0.21862842805628357,0.04808666666666669,106.4,0.00405200069898704,0.002315236147964811
1,0.30619111111111114,0.010789788465087173,0.6651111111111111,0.31444444444444447,0.020444444444444442,0.0,0.23535342337948634,0.01704444444444444,149.03333333333333,0.021681624081771655,0.0038610762149176945
2,0.3219777777777778,0.013147606845835843,0.6174444444444445,0.3568888888888889,0.025555555555555557,0.00011111111111111112,0.24033631521650664,0.015786666666666675,158.76666666666668,0.03230969389375194,0.004704810686493443
3,0.3298466666666667,0.018834541920329757,0.5978888888888889,0.3695555555555555,0.03211111111111111,0.00044444444444444447,0.24296648981535632,0.00786888888888889,169.16666666666666,0.049269490644619045,0.006739854267093634
4,0.3378422222222222,0.01959901071342845,0.577,0.3844444444444444,0.03788888888888889,0.0006666666666666666,0.24520075462285656,0.007995555555555563,172.66666666666666,0.05910170953207749,0.007013415911386384
5,0.3489244444444444,0.02118981706815482,0.545,0.41088888888888886,0.04377777777777778,0.0003333333333333333,0.2443585689848201,0.011082222222222222,181.23333333333332,0.06908090278694629,0.007582678654455766
6,0.35501777777777777,0.021180240436070544,0.5302222222222223,0.42,0.04911111111111111,0.0006666666666666666,0.24541729171085178,0.00609333333333333,183.9,0.08690518201833966,0.007579251700676344
7,0.3608577777777778,0.024137319371925398,0.5172222222222222,0.4263333333333333,0.05544444444444444,0.001,0.24612835686777135,0.00584000000000001,185.26666666666668,0.09574440544416443,0.00863742880783718
8,0.3676622222222222,0.02465758101284174,0.495,0.4478888888888889,0.05633333333333333,0.0007777777777777778,0.24212208756907033,0.006804444444444435,191.53333333333333,0.10448329327268653,0.008823602045039741
9,0.3750355555555556,0.030919620094186768,0.48155555555555557,0.44966666666666666,0.06766666666666668,0.0011111111111111111,0.24348944895421346,0.007373333333333343,194.3,0.11865013533848236,0.01106444395144972
10,0.4235866666666667,0.03745935789963401,0.36133333333333334,0.526,0.11066666666666666,0.002,0.22555350056549625,0.048551111111111114,208.76666666666668,0.12770706765526468,0.013404659070042074
11,0.47226000000000007,0.041488146670781115,0.2841111111111111,0.517888888888889,0.18866666666666668,0.009333333333333334,0.22269945509354835,0.04867333333333335,215.76666666666668,0.20614386384699518,0.014846342616437521
12,0.5266422222222222,0.0464335441020815,0.1947777777777778,0.5198888888888888,0.2617777777777778,0.023555555555555555,0.20209501688733006,0.05438222222222222,226.2,0.24598714294068824,0.01661603035935239
13,0.5758977777777778,0.04892122288466725,0.13677777777777778,0.47555555555555556,0.34955555555555556,0.03811111111111111,0.1858151735381913,0.049255555555555566,228.73333333333332,0.2751947728190293,0.017506234778917867
14,0.6267955555555556,0.05116186898270353,0.08844444444444445,0.42,0.4202222222222222,0.07133333333333333,0.16808422600934017,0.050897777777777785,228.63333333333333,0.28574016732562046,0.018308039687621066
15,0.6645533333333334,0.049951842402327626,0.064,0.3655555555555556,0.4612222222222222,0.10922222222222223,0.15791077297141623,0.037757777777777786,230.7,0.29149015452800775,0.01787503723682929
16,0.7022488888888889,0.04775766070287555,0.043111111111111114,0.3095555555555556,0.4931111111111111,0.15422222222222223,0.14527297801553404,0.03769555555555555,229.9,0.2934414268021074,0.01708985939962007
17,0.7396111111111112,0.04565193346808218,0.028666666666666667,0.25222222222222224,0.5061111111111111,0.213,0.13414897265839834,0.03736222222222225,232.06666666666666,0.29480736357118054,0.01633633458607319
18,0.7704400000000001,0.04167499355875902,0.01888888888888889,0.2061111111111111,0.5063333333333333,0.26866666666666666,0.1235299583546406,0.030828888888888885,225.36666666666667,0.29549783249116157,0.014913204916596345
19,0.7975866666666668,0.04116742900313269,0.012222222222222223,0.16766666666666669,0.4945555555555555,0.3255555555555556,0.11374745985418418,0.02714666666666665,222.13333333333333,0.29599175859218557,0.014731575273012016
20,0.8243577777777779,0.03556101651070431,0.009222222222222222,0.12855555555555556,0.4726666666666667,0.3895555555555556,0.10469036464559321,0.026771111111111124,215.9,0.2962658085298226,0.012725346328341252
21,0.8394044444444445,0.02754025369228659,0.0033333333333333335,0.11477777777777778,0.45699999999999996,0.42488888888888887,0.09848836708165493,0.015046666666666675,213.6,0.29637649329978133,0.009855153215297799
22,0.8521711111111112,0.023096954955681415,0.0032222222222222227,0.08966666666666666,0.45644444444444443,0.45066666666666666,0.0914274574834192,0.012766666666666688,210.46666666666667,0.2965913604692113,0.008265139182752864
23,0.8606044444444445,0.019398541899886074,0.0021111111111111113,0.08411111111111111,0.43477777777777776,0.47900000000000004,0.08937712526395299,0.008433333333333293,206.73333333333332,0.29659554979489566,0.00694167906776746
24,0.8693111111111111,0.015422631858262826,0.0017777777777777779,0.07055555555555555,0.4272222222222222,0.5004444444444445,0.08486943219949156,0.008706666666666663,203.76666666666668,0.29663285887936525,0.005518917931714
25,0.8749666666666668,0.015418670574950678,0.0016666666666666668,0.06211111111111111,0.4211111111111111,0.5151111111111111,0.08192146096196809,0.005655555555555606,199.96666666666667,0.29664439571522166,0.005517500404685868
26,0.87952,0.014794514878767876,0.0015555555555555557,0.06144444444444444,0.4023333333333333,0.5346666666666666,0.08102006409713589,0.004553333333333276,197.23333333333332,0.29664820331451547,0.005294149157278689
27,0.879368888888889,0.01566981854656418,0.0006666666666666666,0.060333333333333336,0.4087777777777778,0.5302222222222223,0.08025924773351452,-0.00015111111111108707,194.43333333333334,0.2966513895406942,0.005607372552111131
28,0.8793111111111112,0.014060464213363419,0.0011111111111111111,0.06188888888888889,0.4038888888888889,0.5331111111111111,0.08091777901852658,-5.777777777780472e-05,194.56666666666666,0.2966817047996912,0.005031472500186806
29,0.8769488888888889,0.011476027765836392,0.0014444444444444446,0.06055555555555556,0.41644444444444445,0.5215555555555556,0.0813470960476558,-0.002362222222222184,197.56666666666666,0.29666697780048373,0.0041066437948974145
30,0.8748355555555557,0.013500069343750764,0.0016666666666666668,0.0638888888888889,0.41766666666666663,0.5167777777777778,0.08251501134066559,-0.0021133333333333486,202.43333333333334,0.2966556887264388,0.004830937771538088
31,0.8673355555555556,0.012482428825120595,0.0011111111111111111,0.06877777777777778,0.44266666666666665,0.48744444444444446,0.08431897209876085,-0.007499999999999977,203.16666666666666,0.29664782970321196,0.004466779788781222
32,0.8609088888888891,0.013618350065003303,0.0014444444444444446,0.07977777777777778,0.4456666666666667,0.4731111111111111,0.0879702386573424,-0.006426666666666669,204.5,0.29666685588816405,0.004873263984048112
33,0.853248888888889,0.016558212031980997,0.002888888888888889,0.08755555555555555,0.45755555555555555,0.452,0.09125280936781129,-0.007660000000000026,210.8,0.29665593255107814,0.00592528007802137
34,0.8477800000000001,0.01711402507904353,0.004111111111111111,0.09233333333333334,0.46711111111111114,0.43644444444444447,0.09343555146469687,-0.005468888888888864,209.46666666666667,0.2966069647184325,0.0061241752225275
35,0.8456733333333334,0.017418687723027154,0.003666666666666667,0.09955555555555556,0.4618888888888889,0.4348888888888889,0.09511084015634354,-0.002106666666666701,212.16666666666666,0.2965639307867939,0.006233197349519644
36,0.84044,0.018920309588971534,0.003777777777777778,0.103,0.47744444444444445,0.41577777777777775,0.09592455127091583,-0.00523333333333333,214.83333333333334,0.29657903139730474,0.006770545833149191
37,0.8373311111111111,0.022319865442221556,0.0038888888888888888,0.11055555555555556,0.474,0.41155555555555556,0.09782701526086719,-0.0031088888888888572,216.6,0.29657547955453833,0.007987061271680715
38,0.8345644444444446,0.022129121142835245,0.005555555555555556,0.11122222222222224,0.479,0.4042222222222222,0.09905698220798084,-0.002766666666666669,216.43333333333334,0.29657246812846694,0.007918804300760971
39,0.8304600000000001,0.020071209246406322,0.004777777777777778,0.11788888888888889,0.48533333333333334,0.392,0.10022013836183861,-0.00410444444444447,218.0,0.2965132205063802,0.0071823899862998326
40,0.8298111111111112,0.019961526852383227,0.004888888888888889,0.115,0.49444444444444446,0.38566666666666666,0.09943095423291817,-0.0006488888888888618,216.26666666666668,0.296542027019978,0.007143140645672988
41,0.8284333333333334,0.019816296169308016,0.004555555555555557,0.12244444444444444,0.48500000000000004,0.388,0.10126494988139532,-0.001377777777777789,219.93333333333334,0.2965362604654714,0.007091170513180365
42,0.8279000000000001,0.020899421612924823,0.004777777777777778,0.12022222222222223,0.49166666666666664,0.38333333333333336,0.10061640198919095,-0.0005333333333333264,219.43333333333334,0.29654976019371293,0.007478761975390486
43,0.8246577777777779,0.020991256952709213,0.0067777777777777775,0.12722222222222224,0.4832222222222222,0.3827777777777778,0.103938443935153,-0.003242222222222228,219.33333333333334,0.2965404417964399,0.007511624829678847
44,0.8254000000000001,0.02014616322579334,0.005555555555555556,0.12422222222222223,0.49111111111111116,0.3791111111111111,0.10217795188254593,0.0007422222222222219,219.7,0.29646847538134025,0.0072092119233527294
45,0.8295200000000001,0.01854248843587709,0.004777777777777778,0.11888888888888888,0.4873333333333333,0.389,0.1005098980561641,0.004119999999999998,218.26666666666668,0.2965144960902066,0.006635344269890931
46,0.8307222222222224,0.018904698139607552,0.005,0.11666666666666667,0.4861111111111111,0.39222222222222225,0.10020303539357199,0.0012022222222222453,220.3,0.29654277030541265,0.006764959347740816
47,0.8305066666666667,0.020716333349146267,0.005555555555555556,0.11977777777777777,0.478,0.39666666666666667,0.10139486611826665,-0.00021555555555557993,220.6,0.296532746272499,0.007413244681627651
48,0.8285622222222223,0.019978322990868363,0.005555555555555556,0.12122222222222222,0.4835555555555555,0.38966666666666666,0.10172321330763467,-0.0019444444444444264,222.36666666666667,0.29651146695480673,0.007149151066638816
49,0.8263555555555556,0.01680498314467992,0.004888888888888889,0.12533333333333332,0.48666666666666664,0.3831111111111111,0.10237694580427883,-0.0022066666666666827,218.9,0.29651513763388415,0.0060135859865990595
50,0.8257022222222223,0.014946020199225524,0.005666666666666667,0.123,0.4921111111111111,0.37922222222222224,0.10232578218229256,-0.0006533333333333206,221.93333333333334,0.29653858897444413,0.0053483646399218685
51,0.8258622222222223,0.017506350754241257,0.006888888888888889,0.12400000000000001,0.48466666666666663,0.3844444444444444,0.10334370350786388,0.00015999999999998237,221.5,0.29650885219945755,0.00626456716236107
52,0.8239000000000001,0.01688445974388616,0.006666666666666667,0.12422222222222222,0.4938888888888889,0.3752222222222222,0.10298756957785465,-0.001962222222222206,219.5,0.29646830803483987,0.006042026322369374
53,0.8237555555555557,0.018907545440509425,0.0054444444444444445,0.12866666666666665,0.4888888888888889,0.377,0.10338024213780783,-0.00014444444444445815,224.26666666666668,0.29647670341400195,0.006765978241283031
54,0.8239333333333334,0.019120252647459493,0.004666666666666667,0.12833333333333333,0.49166666666666664,0.37533333333333335,0.10259661374250657,0.00017777777777778042,221.96666666666667,0.296518803270667,0.006842094537738139
55,0.822748888888889,0.02005303835786154,0.0038888888888888888,0.13277777777777777,0.48977777777777776,0.3735555555555556,0.10327998455958065,-0.0011844444444444435,220.9,0.29654594853687566,0.007175887617343185
56,0.8236244444444445,0.020716983488267025,0.0067777777777777775,0.12366666666666666,0.49600000000000005,0.3735555555555556,0.10268736460585653,0.0008755555555555516,223.3,0.2965720984543357,0.00741347733092413
57,0.8204933333333334,0.022230251729434453,0.006888888888888889,0.13322222222222221,0.4881111111111111,0.3717777777777778,0.10515038572471687,-0.003131111111111077,224.5,0.2964704340925943,0.00795499341640326
58,0.8203044444444445,0.021862276566128568,0.0067777777777777775,0.13255555555555557,0.4908888888888889,0.3697777777777778,0.10487954142206582,-0.0001888888888889051,221.33333333333334,0.2964653886359129,0.007823315195340998
59,0.8208866666666668,0.0243958174293459,0.0054444444444444445,0.13411111111111113,0.4895555555555556,0.3708888888888889,0.10422492871218317,0.0005822222222222062,224.36666666666667,0.2964696538957276,0.008729931149689223
