Step,AverageSustainability,ShareState0,ShareState1,ShareState2,ShareState3,GiniScore,AdoptionVelocity,PeerInfluenceEvents,TaxSignal,Run
0,0.30673333333333336,0.6566666666666666,0.33,0.013333333333333334,0.0,0.23251539520394165,0.062066666666666714,126,0.0,0
1,0.3164,0.64,0.33,0.03,0.0,0.2442098609355253,0.009666666666666657,164,0.0,0
2,0.3383333333333333,0.57,0.39666666666666667,0.03333333333333333,0.0,0.24399671592775093,0.021933333333333305,174,0.0,0
3,0.3460666666666667,0.5566666666666666,0.39666666666666667,0.04666666666666667,0.0,0.24993321774866814,0.00773333333333337,166,0.0,0
4,0.34513333333333335,0.5566666666666666,0.4,0.043333333333333335,0.0,0.24814821968965362,-0.0009333333333333416,183,0.0,0
5,0.33426666666666666,0.5866666666666667,0.37666666666666665,0.03666666666666667,0.0,0.24721845499268766,-0.010866666666666691,183,0.0,0
6,0.33540000000000003,0.5766666666666667,0.3933333333333333,0.03,0.0,0.24264957264957313,0.001133333333333375,181,0.0,0
7,0.32420000000000004,0.6133333333333333,0.36,0.023333333333333334,0.0033333333333333335,0.24412434025635804,-0.011199999999999988,173,0.0,0
8,0.32320000000000004,0.6266666666666667,0.3333333333333333,0.04,0.0,0.25042904290429086,-0.0010000000000000009,179,0.0,0
9,0.34313333333333335,0.5633333333333334,0.3933333333333333,0.043333333333333335,0.0,0.248895149277897,0.019933333333333303,160,0.0,0
10,0.3602,0.5033333333333333,0.45666666666666667,0.04,0.0,0.2380584860262822,0.017066666666666674,183,0.0,0
11,0.3904,0.44,0.48,0.08,0.0,0.242131147540984,0.030200000000000005,197,0.0,0
12,0.41913333333333347,0.3933333333333333,0.4766666666666667,0.12666666666666668,0.0033333333333333335,0.2480966014527336,0.028733333333333444,210,0.0,0
13,0.4166,0.38,0.5133333333333333,0.10333333333333333,0.0033333333333333335,0.2354579399370571,-0.002533333333333443,205,0.0,0
14,0.4208,0.38333333333333336,0.49666666666666665,0.11,0.01,0.24397021546261138,0.0041999999999999815,209,0.0,0
15,0.4281333333333334,0.37333333333333335,0.48333333333333334,0.14333333333333334,0.0,0.24424063116370842,0.007333333333333414,207,0.0,0
16,0.4216000000000001,0.36333333333333334,0.53,0.10333333333333333,0.0033333333333333335,0.2296215475437491,-0.0065333333333333354,207,0.0,0
17,0.42173333333333335,0.4033333333333333,0.44666666666666666,0.14666666666666667,0.0033333333333333335,0.25757403309094795,0.00013333333333326314,211,0.0,0
18,0.42400000000000004,0.36333333333333334,0.5266666666666666,0.1,0.01,0.23345911949685577,0.0022666666666666946,212,0.0,0
19,0.41673333333333334,0.37333333333333335,0.5266666666666666,0.09666666666666666,0.0033333333333333335,0.2306452300965183,-0.007266666666666699,208,0.0,0
20,0.40773333333333334,0.41333333333333333,0.47333333333333333,0.11333333333333333,0.0,0.24742533246130421,-0.009000000000000008,213,0.0,0
21,0.38846666666666674,0.44333333333333336,0.48,0.07666666666666666,0.0,0.24161031977575712,-0.0192666666666666,194,0.0,0
22,0.40546666666666664,0.42333333333333334,0.4633333333333333,0.11,0.0033333333333333335,0.25181957689356627,0.016999999999999904,206,0.0,0
23,0.3982666666666667,0.42,0.49333333333333335,0.08666666666666667,0.0,0.2391451846892093,-0.007199999999999929,224,0.0,0
24,0.3871333333333334,0.4533333333333333,0.4666666666666667,0.07666666666666666,0.0033333333333333335,0.2471643418862298,-0.011133333333333328,213,0.0,0
25,0.395,0.43333333333333335,0.48,0.08333333333333333,0.0033333333333333335,0.244458509142054,0.007866666666666633,206,0.0,0
26,0.41480000000000006,0.38666666666666666,0.5033333333333333,0.11,0.0,0.23760527161684394,0.01980000000000004,212,0.0,0
27,0.4024,0.4,0.52,0.08,0.0,0.2301391650099409,-0.012400000000000078,195,0.0,0
28,0.36406666666666665,0.49666666666666665,0.45666666666666667,0.04666666666666667,0.0,0.24021302569736966,-0.03833333333333333,209,0.0,0
29,0.39293333333333336,0.44333333333333336,0.4666666666666667,0.08666666666666667,0.0033333333333333335,0.24864155638502478,0.028866666666666707,202,0.0,0
30,0.39826666666666666,0.42,0.49333333333333335,0.08666666666666667,0.0,0.2391451846892093,0.005333333333333301,213,0.0,0
31,0.37673333333333336,0.47,0.4666666666666667,0.06333333333333334,0.0,0.24245325311154423,-0.021533333333333293,200,0.0,0
32,0.36493333333333333,0.5,0.44666666666666666,0.05333333333333334,0.0,0.24425526732432143,-0.011800000000000033,196,0.0,0
33,0.3443333333333334,0.55,0.4166666666666667,0.03333333333333333,0.0,0.24183607615359848,-0.02059999999999995,197,0.0,0
34,0.34120000000000006,0.5666666666666667,0.3933333333333333,0.04,0.0,0.2474169597499028,-0.0031333333333333213,175,0.0,0
35,0.3324666666666667,0.5833333333333334,0.39,0.02666666666666667,0.0,0.24117973397500217,-0.00873333333333337,177,0.0,0
36,0.3320666666666667,0.6033333333333334,0.35,0.04666666666666667,0.0,0.2537248209864156,-0.00040000000000001146,182,0.0,0
37,0.3196,0.62,0.36,0.02,0.0,0.23832290362953729,-0.012466666666666681,157,0.0,0
38,0.3176,0.6266666666666667,0.35333333333333333,0.02,0.0,0.23827036104114238,-0.0020000000000000018,168,0.0,0
39,0.32033333333333336,0.63,0.33666666666666667,0.03333333333333333,0.0,0.2464689559486651,0.0027333333333333654,171,0.0,0
40,0.3264000000000001,0.6066666666666667,0.36333333333333334,0.03,0.0,0.2442851307189548,0.00606666666666672,174,0.0,0
41,0.29646666666666666,0.7033333333333334,0.27,0.02666666666666667,0.0,0.23565624765759746,-0.029933333333333423,166,0.0,0
42,0.3176,0.6266666666666667,0.35333333333333333,0.02,0.0,0.23827036104114238,0.021133333333333337,163,0.0,0
43,0.3233333333333333,0.62,0.3466666666666667,0.03333333333333333,0.0,0.2465017182130588,0.0057333333333333125,172,0.0,0
44,0.3264,0.6066666666666667,0.36333333333333334,0.03,0.0,0.2442851307189548,0.0030666666666667175,177,0.0,0
45,0.3186,0.6233333333333333,0.3566666666666667,0.02,0.0,0.2383071772337314,-0.007800000000000029,178,0.0,0
46,0.33353333333333335,0.5766666666666667,0.4,0.023333333333333334,0.0,0.238709441002066,0.014933333333333354,175,0.0,0
