Step,Avg,Std,Share0,Share1,Share2,Share3,Gini,Velocity,PeerEvents,TaxSignal,CI95
0,0.28963,0.006460622061914827,0.7045,0.292,0.0035000000000000005,0.0,0.21849899757052574,0.04753000000000003,107.5,0.003868548509868406,0.0028314924610457755
1,0.30429,0.011337197999485259,0.6715,0.308,0.0205,0.0,0.23467088542233144,0.014659999999999989,147.2,0.020693493678536283,0.004968746098639838
2,0.32158000000000003,0.014413039904830829,0.6184999999999999,0.35616666666666663,0.025166666666666664,0.0001666666666666667,0.2399309061490577,0.017290000000000014,158.0,0.02851708111125307,0.006316793249965291
3,0.3283533333333334,0.021830941076923238,0.6031666666666666,0.364,0.03233333333333334,0.0005,0.2425601656132459,0.0067733333333333395,168.85,0.04587656891727231,0.009567831779115393
4,0.3345633333333334,0.022650608088606073,0.5861666666666666,0.37716666666666665,0.036,0.0006666666666666668,0.24396155542244227,0.006209999999999993,171.0,0.05381426201695451,0.009927066685894631
5,0.34426333333333337,0.02308091513079266,0.5589999999999999,0.39866666666666667,0.041833333333333333,0.0005,0.24476651255710094,0.009700000000000005,178.0,0.06128953698527693,0.010115657062209743
6,0.35078000000000004,0.023687962743709497,0.5401666666666667,0.41466666666666663,0.044333333333333336,0.0008333333333333333,0.24392556986096925,0.006516666666666668,180.5,0.07396384864353447,0.010381707408909703
7,0.3548933333333334,0.02739399686660357,0.5328333333333333,0.41516666666666663,0.05116666666666667,0.0008333333333333333,0.2455391342484791,0.00411333333333333,182.15,0.08427831373381249,0.012005948477151796
8,0.3613766666666667,0.02717643694721954,0.5136666666666667,0.4325,0.052000000000000005,0.0018333333333333333,0.24411180836727686,0.006483333333333327,187.3,0.08900143886586245,0.011910598638443072
9,0.3673766666666667,0.03069390304621633,0.5035000000000001,0.43200000000000005,0.06283333333333332,0.0016666666666666666,0.24630744493576043,0.006000000000000014,190.8,0.09959318694013398,0.013452196126401006
10,0.4146633333333334,0.037140904296069914,0.38183333333333336,0.5156666666666666,0.10016666666666667,0.0023333333333333335,0.2289754391710423,0.04728666666666668,206.0,0.10613851293244418,0.016277719003357952
11,0.46024666666666675,0.04079879656521246,0.304,0.5175,0.17183333333333334,0.006666666666666666,0.22560594381379487,0.04558333333333335,216.15,0.18144458070396832,0.017880860973919995
12,0.5080866666666667,0.041766239479200384,0.2145,0.5376666666666667,0.23399999999999999,0.013833333333333333,0.20342675944402097,0.04784,221.9,0.22024951875333615,0.018304861525445384
13,0.5546533333333334,0.0410004684041137,0.162,0.4915,0.31816666666666665,0.028333333333333332,0.19485931198789214,0.04656666666666669,225.3,0.25253170905701683,0.017969247554342385
14,0.60239,0.04320407320520217,0.10466666666666666,0.46033333333333337,0.3805,0.05450000000000001,0.1757366880021327,0.04773666666666663,229.5,0.26348879648570295,0.018935019939975015
